Region Name,Short Code,Geographic Location
Australia Central,australiacentral,Canberra, Australia
Australia Central 2,australiacentral2,Canberra, Australia
Australia East,australiaeast,New South Wales, Australia
Australia Southeast,australiasoutheast,Victoria, Australia
Austria East,austriaeast,Vienna, Austria
Belgium Central,belgiumcentral,Brussels, Belgium
Brazil South,brazilsouth,São Paulo State, Brazil
Brazil Southeast,brazilsoutheast,Rio de Janeiro State, Brazil
Canada Central,canadacentral,Toronto, Ontario, Canada
Canada East,canadaeast,Québec City, Québec, Canada
Central India,centralindia,Pune, India
Central US,centralus,Iowa, USA
Chile Central,chilecentral,Santiago, Chile
East Asia,eastasia,Hong Kong SAR
East US,eastus,Virginia, USA
East US 2,eastus2,Virginia, USA
France Central,francecentral,Paris, France
France South,francesouth,Marseille, France
Germany North,germanynorth,Berlin region, Germany
Germany West Central,germanywestcentral,Frankfurt, Germany
Indonesia Central,indonesiacentral,Jakarta, Indonesia
Israel Central,israelcentral,Jerusalem/Tel Aviv, Israel
Italy North,italynorth,Milan, Italy
Japan East,japaneast,Tokyo, Japan
Japan West,japanwest,Osaka, Japan
Korea Central,koreacentral,Seoul, South Korea
Korea South,koreasouth,Busan, South Korea
Malaysia West,malaysiawest,Kuala Lumpur, Malaysia
Mexico Central,mexicocentral,Querétaro, Mexico
New Zealand North,newzealandnorth,Auckland, New Zealand
North Central US,northcentralus,Illinois, USA
North Europe,northeurope,Dublin, Ireland
Norway East,norwayeast,Oslo, Norway
Norway West,norwaywest,Stavanger, Norway
Poland Central,polandcentral,Warsaw, Poland
Qatar Central,qatarcentral,Doha, Qatar
South Africa North,southafricanorth,Johannesburg, South Africa
South Africa West,southafricawest,Cape Town, South Africa
South Central US,southcentralus,Texas, USA
South India,southindia,Chennai, India
Southeast Asia,southeastasia,Singapore
Spain Central,spaincentral,Madrid, Spain
Sweden Central,swedencentral,Gävle/Sandviken, Sweden
Switzerland North,switzerlandnorth,Zurich, Switzerland
Switzerland West,switzerlandwest,Geneva, Switzerland
UAE Central,uaecentral,Abu Dhabi, UAE
UAE North,uaenorth,Dubai, UAE
UK South,uksouth,London, United Kingdom
UK West,ukwest,Cardiff, United Kingdom
West Central US,westcentralus,Wyoming, USA
West Europe,westeurope,Amsterdam, Netherlands
West India,westindia,Mumbai, India
West US,westus,California, USA
West US 2,westus2,Washington State, USA
West US 3,westus3,Arizona, USA
