Provider,Region ID,Region Name,Current Latitude,Current Longitude,Accurate Latitude,Accurate Longitude,City Location,Status,Priority,Notes
AWS,us-east-1,US East (N. Virginia),39.0458,-77.5081,39.0458,-77.5081,"Ashburn, VA",UPDATED,COMPLETE,Primary AWS data center hub in Loudoun County
AWS,us-east-2,US East (Ohio),39.9612,-82.9988,39.9612,-82.9988,"Columbus, OH",UPDATED,COMPLETE,Columbus metropolitan area
AWS,us-west-1,US West (N. California),37.4419,-122.1430,37.4419,-122.1430,"Palo Alto, CA",UPDATED,COMPLETE,San Francisco Bay Area data centers
AWS,us-west-2,US West (Oregon),45.8696,-119.6880,45.8696,-119.6880,"Umatilla, OR",UPDATED,COMPLETE,Primary AWS Oregon data center location
AWS,eu-west-1,Europe (Ireland),53.3498,-6.2603,53.3498,-6.2603,"Dublin, Ireland",UPDATED,COMPLETE,Dublin data center region
AWS,eu-central-1,Europe (Frankfurt),50.11,8.68,50.11,8.68,"Frankfurt, Germany",ACCURATE,LOW,Already accurate
AWS,ap-southeast-1,Asia Pacific (Singapore),1.37,103.8,1.37,103.8,"Singapore",ACCURATE,LOW,Already accurate
AWS,ap-northeast-1,Asia Pacific (Tokyo),35.41,139.42,35.41,139.42,"Tokyo, Japan",ACCURATE,LOW,Already accurate
AWS,ca-central-1,Canada Central (Montreal),45.5017,-73.5673,45.5017,-73.5673,"Montreal, QC",ACCURATE,HIGH,Major missing region - now added
AWS,ca-west-1,Canada West (Calgary),51.05,-114.07,51.05,-114.07,"Calgary, AB",ACCURATE,LOW,Already accurate
AWS,sa-east-1,South America (São Paulo),-23.5505,-46.6333,-23.5505,-46.6333,"São Paulo, Brazil",ACCURATE,HIGH,Major South America region - now added
AWS,mx-central-1,Mexico (Central),19.43,-99.13,19.43,-99.13,"Mexico City",ACCURATE,LOW,Already accurate
AWS,us-gov-east-1,AWS GovCloud (US-East),39.04,-77.49,39.0458,-77.5081,"Ashburn, VA",NEEDS_FIX,MEDIUM,Same location as us-east-1
AWS,us-gov-west-1,AWS GovCloud (US-West),45.87,-119.69,45.8696,-119.6880,"Umatilla, OR",NEEDS_FIX,MEDIUM,Same location as us-west-2
AWS,eu-west-2,Europe (London),51.51,-0.13,51.51,-0.13,"London, UK",ACCURATE,LOW,Already accurate
AWS,eu-west-3,Europe (Paris),48.86,2.35,48.86,2.35,"Paris, France",ACCURATE,LOW,Already accurate
AWS,eu-south-1,Europe (Milan),45.46,9.19,45.46,9.19,"Milan, Italy",ACCURATE,LOW,Already accurate
AWS,eu-south-2,Europe (Spain),40.42,-3.70,40.42,-3.70,"Madrid, Spain",ACCURATE,LOW,Already accurate
AWS,eu-north-1,Europe (Stockholm),59.33,18.07,59.33,18.07,"Stockholm, Sweden",ACCURATE,LOW,Already accurate
AWS,eu-central-2,Europe (Zurich),47.37,8.55,47.37,8.55,"Zurich, Switzerland",ACCURATE,LOW,Already accurate
AWS,me-south-1,Middle East (Bahrain),26.07,50.55,26.07,50.55,"Manama, Bahrain",ACCURATE,LOW,Already accurate
AWS,me-central-1,Middle East (UAE),25.20,55.27,25.20,55.27,"Dubai, UAE",ACCURATE,LOW,Already accurate
AWS,il-central-1,Israel (Tel Aviv),32.09,34.78,32.09,34.78,"Tel Aviv, Israel",ACCURATE,LOW,Already accurate
AWS,af-south-1,Africa (Cape Town),-33.92,18.42,-33.92,18.42,"Cape Town, South Africa",ACCURATE,LOW,Already accurate
AWS,ap-east-1,Asia Pacific (Hong Kong),22.32,114.17,22.32,114.17,"Hong Kong",ACCURATE,LOW,Already accurate
AWS,ap-south-2,Asia Pacific (Hyderabad),17.39,78.49,17.39,78.49,"Hyderabad, India",ACCURATE,LOW,Already accurate
AWS,ap-southeast-3,Asia Pacific (Jakarta),-6.21,106.85,-6.21,106.85,"Jakarta, Indonesia",ACCURATE,LOW,Already accurate
AWS,ap-southeast-5,Asia Pacific (Malaysia),3.14,101.69,3.14,101.69,"Kuala Lumpur, Malaysia",ACCURATE,LOW,Already accurate
AWS,ap-south-1,Asia Pacific (Mumbai),19.08,72.88,19.08,72.88,"Mumbai, India",ACCURATE,LOW,Already accurate
AWS,ap-northeast-3,Asia Pacific (Osaka),34.69,135.50,34.69,135.50,"Osaka, Japan",ACCURATE,LOW,Already accurate
AWS,ap-northeast-2,Asia Pacific (Seoul),37.57,126.98,37.57,126.98,"Seoul, South Korea",ACCURATE,LOW,Already accurate
AWS,ap-east-2,Asia Pacific (Taipei),25.03,121.57,25.03,121.57,"Taipei, Taiwan",ACCURATE,LOW,Already accurate
AWS,ap-southeast-7,Asia Pacific (Thailand),13.76,100.50,13.76,100.50,"Bangkok, Thailand",ACCURATE,LOW,Already accurate
AWS,ap-southeast-4,Asia Pacific (Melbourne),-37.81,144.96,-37.81,144.96,"Melbourne, Australia",ACCURATE,LOW,Already accurate
AWS,ap-southeast-6,Asia Pacific (New Zealand),-36.85,174.76,-36.85,174.76,"Auckland, New Zealand",ACCURATE,LOW,Already accurate
AWS,ap-southeast-2,Asia Pacific (Sydney),-33.87,151.21,-33.87,151.21,"Sydney, Australia",ACCURATE,LOW,Already accurate
AWS,cn-north-1,China (Beijing),39.90,116.40,39.90,116.40,"Beijing, China",ACCURATE,LOW,Already accurate
AWS,cn-northwest-1,China (Ningxia),38.47,106.27,38.47,106.27,"Ningxia, China",ACCURATE,LOW,Already accurate
GCP,us-central1,us-central1 (Iowa),41.2619,-95.8608,41.2619,-95.8608,"Council Bluffs, IA",UPDATED,COMPLETE,Google's major Iowa data center
GCP,us-east1,us-east1 (South Carolina),33.1960,-79.9760,33.1960,-79.9760,"Moncks Corner, SC",UPDATED,COMPLETE,Berkeley County data center
GCP,europe-west1,europe-west1 (Belgium),50.4501,3.8200,50.4501,3.8200,"St. Ghislain, Belgium",UPDATED,COMPLETE,Google data center location
GCP,asia-east1,asia-east1 (Taiwan),24.0518,120.5161,24.0518,120.5161,"Changhua County, Taiwan",UPDATED,COMPLETE,Taiwan data center region
GCP,us-west1,us-west1 (Oregon),45.60,-121.18,45.6945,-121.1786,"The Dalles, OR",NEEDS_REFINEMENT,MEDIUM,Close but could be more precise
GCP,us-west2,us-west2 (Los Angeles),34.05,-118.24,34.05,-118.24,"Los Angeles, CA",ACCURATE,LOW,Already accurate
GCP,europe-west2,europe-west2 (London),51.51,-0.13,51.51,-0.13,"London, UK",ACCURATE,LOW,Already accurate
GCP,europe-west3,europe-west3 (Frankfurt),50.11,8.68,50.11,8.68,"Frankfurt, Germany",ACCURATE,LOW,Already accurate
GCP,asia-southeast1,asia-southeast1 (Singapore),1.37,103.8,1.37,103.8,"Singapore",ACCURATE,LOW,Already accurate
GCP,asia-northeast1,asia-northeast1 (Tokyo),35.68,139.69,35.68,139.69,"Tokyo, Japan",ACCURATE,LOW,Already accurate
Azure,eastus,East US,37.5407,-77.4360,37.5407,-77.4360,"Richmond, VA",UPDATED,COMPLETE,Richmond metropolitan area
Azure,westus2,West US 2,47.2529,-119.8523,47.2529,-119.8523,"Quincy, WA",UPDATED,COMPLETE,Major Microsoft data center hub
Azure,westeurope,West Europe,52.37,4.89,52.37,4.89,"Amsterdam, Netherlands",ACCURATE,LOW,Already accurate
Azure,southeastasia,Southeast Asia,1.28,103.85,1.28,103.85,"Singapore",ACCURATE,LOW,Already accurate
Azure,australiacentral,Australia Central,-35.31,149.13,-35.31,149.13,"Canberra, Australia",ACCURATE,LOW,Already accurate
Azure,australiacentral2,Australia Central 2,-35.31,149.13,-35.31,149.13,"Canberra, Australia",DUPLICATE,LOW,Same coordinates as australiacentral
Azure,australiaeast,Australia East,-33.87,151.21,-33.87,151.21,"Sydney, Australia",ACCURATE,LOW,Already accurate
Azure,australiasoutheast,Australia Southeast,-37.81,144.96,-37.81,144.96,"Melbourne, Australia",ACCURATE,LOW,Already accurate
Azure,austriaeast,Austria East,48.21,16.37,48.21,16.37,"Vienna, Austria",ACCURATE,LOW,Already accurate
Azure,belgiumcentral,Belgium Central,50.85,4.35,50.85,4.35,"Brussels, Belgium",ACCURATE,LOW,Already accurate
Azure,brazilsouth,Brazil South,-23.55,-46.64,-23.55,-46.64,"São Paulo, Brazil",ACCURATE,LOW,Already accurate
Azure,brazilsoutheast,Brazil Southeast,-22.91,-43.17,-22.91,-43.17,"Rio de Janeiro, Brazil",ACCURATE,LOW,Already accurate
Azure,canadacentral,Canada Central,43.65,-79.38,43.65,-79.38,"Toronto, Canada",ACCURATE,LOW,Already accurate
Azure,canadaeast,Canada East,46.81,-71.21,46.81,-71.21,"Quebec City, Canada",ACCURATE,LOW,Already accurate
Azure,centralindia,Central India,18.59,73.74,18.59,73.74,"Pune, India",ACCURATE,LOW,Already accurate
Azure,centralus,Central US,41.59,-93.62,41.59,-93.62,"Des Moines, IA",ACCURATE,LOW,Already accurate
Azure,chilecentral,Chile Central,-33.45,-70.67,-33.45,-70.67,"Santiago, Chile",ACCURATE,LOW,Already accurate
Azure,eastasia,East Asia,22.27,114.19,22.27,114.19,"Hong Kong",ACCURATE,LOW,Already accurate
Azure,eastus2,East US 2,36.67,-78.39,36.67,-78.39,"Richmond, VA",ACCURATE,LOW,Already accurate
Azure,francecentral,France Central,46.20,2.21,46.20,2.21,"Paris, France",ACCURATE,LOW,Already accurate
Azure,francesouth,France South,43.30,5.40,43.30,5.40,"Marseille, France",ACCURATE,LOW,Already accurate
Azure,germanynorth,Germany North,53.55,9.99,53.55,9.99,"Hamburg, Germany",ACCURATE,LOW,Already accurate
Azure,germanywestcentral,Germany West Central,50.11,8.68,50.11,8.68,"Frankfurt, Germany",ACCURATE,LOW,Already accurate
Azure,indonesiacentral,Indonesia Central,-6.21,106.85,-6.21,106.85,"Jakarta, Indonesia",ACCURATE,LOW,Already accurate
Azure,israelcentral,Israel Central,31.05,34.85,31.05,34.85,"Tel Aviv, Israel",ACCURATE,LOW,Already accurate
Azure,italynorth,Italy North,45.46,9.19,45.46,9.19,"Milan, Italy",ACCURATE,LOW,Already accurate
Azure,japaneast,Japan East,35.68,139.77,35.68,139.77,"Tokyo, Japan",ACCURATE,LOW,Already accurate
Azure,japanwest,Japan West,34.69,135.50,34.69,135.50,"Osaka, Japan",ACCURATE,LOW,Already accurate
Azure,koreacentral,Korea Central,37.57,126.98,37.57,126.98,"Seoul, South Korea",ACCURATE,LOW,Already accurate
Azure,koreasouth,Korea South,35.18,129.08,35.18,129.08,"Busan, South Korea",ACCURATE,LOW,Already accurate
Azure,malaysiawest,Malaysia West,3.14,101.69,3.14,101.69,"Kuala Lumpur, Malaysia",ACCURATE,LOW,Already accurate
Azure,mexicocentral,Mexico Central,19.43,-99.13,19.43,-99.13,"Mexico City, Mexico",ACCURATE,LOW,Already accurate
Azure,newzealandnorth,New Zealand North,-36.85,174.76,-36.85,174.76,"Auckland, New Zealand",ACCURATE,LOW,Already accurate
Azure,northcentralus,North Central US,41.88,-87.63,41.88,-87.63,"Chicago, IL",ACCURATE,LOW,Already accurate
Azure,northeurope,North Europe,53.35,-6.26,53.35,-6.26,"Dublin, Ireland",ACCURATE,LOW,Already accurate
Azure,norwayeast,Norway East,59.91,10.75,59.91,10.75,"Oslo, Norway",ACCURATE,LOW,Already accurate
Azure,norwaywest,Norway West,58.97,5.73,58.97,5.73,"Stavanger, Norway",ACCURATE,LOW,Already accurate
Azure,polandcentral,Poland Central,52.23,21.01,52.23,21.01,"Warsaw, Poland",ACCURATE,LOW,Already accurate
Azure,qatarcentral,Qatar Central,25.29,51.53,25.29,51.53,"Doha, Qatar",ACCURATE,LOW,Already accurate
Azure,southafricanorth,South Africa North,-26.20,28.05,-26.20,28.05,"Johannesburg, South Africa",ACCURATE,LOW,Already accurate
Azure,southafricawest,South Africa West,-33.92,18.42,-33.92,18.42,"Cape Town, South Africa",ACCURATE,LOW,Already accurate
Azure,southcentralus,South Central US,29.42,-98.49,29.42,-98.49,"San Antonio, TX",ACCURATE,LOW,Already accurate
Azure,southindia,South India,12.97,80.16,12.97,80.16,"Chennai, India",ACCURATE,LOW,Already accurate
Azure,spaincentral,Spain Central,40.42,-3.70,40.42,-3.70,"Madrid, Spain",ACCURATE,LOW,Already accurate
Azure,swedencentral,Sweden Central,60.67,17.14,60.67,17.14,"Stockholm, Sweden",ACCURATE,LOW,Already accurate
Azure,switzerlandnorth,Switzerland North,47.37,8.55,47.37,8.55,"Zurich, Switzerland",ACCURATE,LOW,Already accurate
Azure,switzerlandwest,Switzerland West,46.20,6.14,46.20,6.14,"Geneva, Switzerland",ACCURATE,LOW,Already accurate
Azure,uaecentral,UAE Central,24.47,54.37,24.47,54.37,"Abu Dhabi, UAE",ACCURATE,LOW,Already accurate
Azure,uaenorth,UAE North,25.27,55.30,25.27,55.30,"Dubai, UAE",ACCURATE,LOW,Already accurate
Azure,uksouth,UK South,50.94,-0.77,50.94,-0.77,"London, UK",ACCURATE,LOW,Already accurate
Azure,ukwest,UK West,53.43,-3.04,53.43,-3.04,"Cardiff, UK",ACCURATE,LOW,Already accurate
Azure,westcentralus,West Central US,40.89,-110.23,40.89,-110.23,"Wyoming, USA",ACCURATE,LOW,Already accurate
Azure,westindia,West India,19.09,72.87,19.09,72.87,"Mumbai, India",ACCURATE,LOW,Already accurate
Azure,westus,West US,37.78,-122.42,37.78,-122.42,"San Francisco, CA",ACCURATE,LOW,Already accurate
Azure,westus3,West US 3,33.45,-112.07,33.45,-112.07,"Phoenix, AZ",ACCURATE,LOW,Already accurate
OCI,us-ashburn-1,US East (Ashburn),39.04,-77.49,39.04,-77.49,"Ashburn, VA",ACCURATE,LOW,Already accurate
OCI,us-phoenix-1,US West (Phoenix),33.45,-112.07,33.45,-112.07,"Phoenix, AZ",ACCURATE,LOW,Already accurate
OCI,eu-frankfurt-1,Germany Central (Frankfurt),50.11,8.68,50.11,8.68,"Frankfurt, Germany",ACCURATE,LOW,Already accurate
OCI,uk-london-1,UK South (London),51.51,-0.13,51.51,-0.13,"London, UK",ACCURATE,LOW,Already accurate
OCI,ap-tokyo-1,Japan East (Tokyo),35.68,139.69,35.68,139.69,"Tokyo, Japan",ACCURATE,LOW,Already accurate
OCI,ap-sydney-1,Australia East (Sydney),-33.87,151.21,-33.87,151.21,"Sydney, Australia",ACCURATE,LOW,Already accurate
OCI,ca-toronto-1,Canada Southeast (Toronto),43.65,-79.38,43.65,-79.38,"Toronto, Canada",ACCURATE,LOW,Already accurateGCP
,northamerica-northeast1,northamerica-northeast1 (Montreal),45.5017,-73.5673,45.5017,-73.5673,"Montreal, QC",ACCURATE,HIGH,Major missing region - now added
GCP,northamerica-northeast2,northamerica-northeast2 (Toronto),43.6532,-79.3832,43.6532,-79.3832,"Toronto, ON",ACCURATE,HIGH,Major missing region - now added
GCP,us-east4,us-east4 (Northern Virginia),39.0458,-77.5081,39.0458,-77.5081,"Ashburn, VA",ACCURATE,MEDIUM,Additional US East region - now added
GCP,us-south1,us-south1 (Dallas),32.7767,-96.7970,32.7767,-96.7970,"Dallas, TX",ACCURATE,MEDIUM,US South region - now added
GCP,us-west3,us-west3 (Salt Lake City),40.7608,-111.8910,40.7608,-111.8910,"Salt Lake City, UT",ACCURATE,MEDIUM,US West region - now added
GCP,us-west4,us-west4 (Las Vegas),36.1699,-115.1398,36.1699,-115.1398,"Las Vegas, NV",ACCURATE,MEDIUM,US West region - now added
OCI,ca-montreal-1,Canada Central (Montreal),45.5017,-73.5673,45.5017,-73.5673,"Montreal, QC",ACCURATE,HIGH,Major missing region - now added
OCI,us-sanjose-1,US West (San Jose),37.3382,-121.8863,37.3382,-121.8863,"San Jose, CA",ACCURATE,MEDIUM,US West region - now added
OCI,us-chicago-1,US Central (Chicago),41.8781,-87.6298,41.8781,-87.6298,"Chicago, IL",ACCURATE,MEDIUM,US Central region - now added
